티커,종목명,현재가,등락률(%),거래량비율,MA5,MA20,MA60,정배열,눌림목,장대양봉,망치형,전고돌파,PER,PBR,ROE(%),배당률(%),BPS,스윙점수,시그널,1차목표가,손절가
178920,PI첨단소재,20100,-0.74,0.48,20250,17656,16636,True,False,False,False,False,25.25,1.75,6.93,1.74,11507,50,외+기관_동시매수 | 정배열 | 배당1.7%,21507,17656
334890,이지스밸류플러스리츠,4290,0.94,1.19,4236,4187,4237,False,True,False,False,True,0.0,0.0,0.0,0.0,0,50,외+기관_동시매수 | 눌림목반등 | 전고돌파,4590,4075
001465,BYC우,27100,-1.63,0.67,26670,24760,24585,True,False,False,False,False,0.0,0.0,0.0,1.31,0,50,외+기관_동시매수 | 정배열 | 배당1.3%,31850,24760
300720,한일시멘트,18020,-0.06,0.66,18092,17295,17863,False,False,False,False,False,6.78,0.73,10.77,5.55,24826,45,외+기관_동시매수 | PBR0.73 | 배당5.5%,19281,17119
28513K,SK케미칼우,28900,-0.17,0.48,28770,28245,28919,False,True,False,False,False,0.0,0.0,0.0,4.15,0,45,외+기관_동시매수 | 눌림목반등 | 배당4.2%,30923,27455
439260,대한조선,75500,0.4,0.52,75320,72005,70620,True,False,False,False,False,6.04,5.08,84.11,0.0,14854,45,외+기관_동시매수 | 정배열,80785,71725
003350,한국화장품제조,52400,-0.19,0.64,52620,50050,50069,False,False,False,True,False,8.21,2.56,31.18,0.38,20473,45,외+기관_동시매수 | 망치형 | 배당0.4%,56068,49780
072710,농심홀딩스,97000,-0.31,1.3,94920,90040,91328,False,False,False,False,False,6.02,0.37,6.15,2.58,262523,45,외+기관_동시매수 | PBR0.37 | 배당2.6%,103790,90040
035250,강원랜드,18860,-0.74,0.72,18560,17843,18030,False,False,False,False,False,8.36,0.97,11.6,6.2,19379,45,외+기관_동시매수 | PBR0.97 | 배당6.2%,20180,17843
004830,덕성,5090,-1.74,1.07,5013,4847,4874,False,False,False,False,False,11.41,0.84,7.36,1.96,6042,45,외+기관_동시매수 | PBR0.84 | 배당2.0%,5500,4835
001440,대한전선,31550,-0.94,0.66,31410,29220,25495,True,False,False,False,False,77.14,3.98,5.16,0.0,7931,45,외+기관_동시매수 | 정배열,34450,29220
026960,동서,28750,0.35,1.01,27800,26432,27063,False,False,False,False,True,18.04,1.67,9.26,3.1,17172,45,외+기관_동시매수 | 전고돌파 | 배당3.1%,30762,26432
100250,진양홀딩스,3235,-0.15,1.45,3216,3022,3089,False,False,False,False,False,12.16,0.51,4.19,6.18,6372,45,외+기관_동시매수 | PBR0.51 | 배당6.2%,3461,3022
086790,하나금융지주,127600,-1.85,1.32,124880,109480,98811,True,False,False,False,False,10.1,0.84,8.32,2.82,151798,45,기관_순매수 | 정배열 | PBR0.84 | 배당2.8%,136532,109480
377300,카카오페이,62500,-1.88,0.23,62740,62525,53318,True,False,False,False,False,0.0,4.52,0.0,0.0,13824,45,외+기관_동시매수 | 정배열,79200,59375
088980,맥쿼리인프라,11540,0.7,1.92,11384,11310,11407,False,True,False,False,True,0.0,0.0,0.0,0.0,0,45,외국인_순매수 | 거래량1.9x | 눌림목반등 | 전고돌파,12347,10963
102260,동성케미컬,4510,0.22,0.9,4442,4291,4344,False,False,False,False,False,4.97,0.5,10.06,1.11,8953,45,외+기관_동시매수 | PBR0.50 | 배당1.1%,4825,4284
298690,에어부산,1990,0.91,0.92,1972,1853,1796,True,False,False,False,False,0.0,1.67,0.0,0.0,1193,45,외+기관_동시매수 | 정배열,2129,1853
039490,키움증권,469500,3.76,1.37,452400,402350,328058,True,False,False,False,True,15.01,2.23,14.86,1.6,210068,45,기관_순매수 | 정배열 | 전고돌파 | 배당1.6%,502365,402350
009830,한화솔루션,45900,-3.47,0.46,47150,34425,29777,True,False,False,False,False,0.0,0.83,0.0,0.65,54974,45,외국인_순매수 | 정배열 | PBR0.83 | 배당0.7%,49650,34425
